Title;Short Intro;Category;Sub-Category;Course Type;Language;Skills;Rating;Duration;Site;Program Type;Courses;Prequisites;Topics related to CRM;ExpertTracks;FAQs;Weekly study;Premium course
Diversity and Inclusion for HR Professionals;Welcome to Diversity & Inclusion for HR Professionals. In this course we will review the changing landscape of the workplace and discuss the current change drivers that make Diversity and Inclusion an important focus for your organization. We will explore strategies for creating an inclusive climate and a sense of belonging, and how bias and microaggressions can be mitigated. Finally, we will explore the business case for Diversity and Inclusion strategies, and youâ€™ll have the opportunity to develop a DEIB tailored to your organization and situation.;Business;Leadership and Management;Course;English;inclusion,diversity,belonging,Human Resources (HR),Leadership,;4,7;Approx. 16 hours to complete;Coursera;;;;;;;;
Instructional Methods in Health Professions Education;This course provides those involved in educating members of the health professions an asynchronous, interdisciplinary, and interactive way to obtain, expand, and improve their teaching skills. These skills can then be applied within their own professional context, with a variety of learners, extending across many stages.;Health;Public Health;Course;English;Teaching,Simulation,Instructional Design,Teaching Method,;4,7;Approx. 20 hours to complete;Coursera;;;;;;;;
Schizophrenia;The main goal of this class is to gain an introductory exposure to the nature of the psychiatric disorder known as schizophrenia as revealed by the scientific method. We will discuss a broad range of findings from the scientific investigation of biological and psychological factors related to schizophrenia and its treatment. More specifically we will learn about: (1)  key symptomatic features through discussion and enactments of interviews with actors portraying many of the cardinal features of the illness, (2) what brain imaging studies (MRI and fMRI) and neurochemistry have taught us about the neuroscience of the disorder, (3) scientific psychological data and theories concerning cognition, emotion and behavior in schizophrenia, and (4) current, evidence-based somatic and psychosocial approaches to treatment. A brief historical overview of the recent emergence of the psychiatric category of schizophrenia will be presented as well.;Health;Psychology;Course;English;Psychology,Psychiatry,Psychiatric Disorders,Psychotherapy,;4,8;Approx. 5 hours to complete;Coursera;;;;;;;;
Inclusive Leadership: The Power of Workplace Diversity;Do you want to promote diversity and inclusion? This course will empower and equip you to develop inclusive cultures where everyone feels valued and respected. You will learn how highly inclusive leaders from around the world use processes of social influence to interact effectively with individuals from a wide variety of backgrounds. You will deepen your understanding of the benefits of diversity. And, you will explore a wealth of perspectives and practices to help you to reap those benefits.;Social Sciences;Education;Course;English;Emotional Intelligence,self-awareness,inclusive leadership,Communication,Diversity (Business),;4,9;Approx. 21 hours to complete;Coursera;;;;;;;;
Managing the Company of the Future;The aim of the course is to provide you with a comprehensive framework for understanding both the traditional principles of management inside companies today as well as the alternative principles that are becoming increasingly important. It provides both theoretical and practical perspectives on the nature of management in todayâ€™s organisations.;Business;Leadership and Management;Course;English;Management Theory,Strategic Management,Leadership,Management,;4,8;Approx. 12 hours to complete;Coursera;;;;;;;;
Foundations of Business Strategy;Develop your ability to think strategically, analyze the competitive environment, and recommend firm positioning and value creation. In this course, developed at the Darden School of Business at the University of Virginia, top-ranked faculty will help you explore the underlying theory and frameworks that provide the foundations of a successful business strategy and provide the tools you need to understand that strategy: SWOT, Competitor, Environmental, Five Forces, and Capabilities Analyses, as well as Strategy Maps.;Business;Business Strategy;Course;English;Capabilities Analysis,Business Strategy,Competitive Position,Strategic Analysis,Industry Structure,;4,8;Approx. 9 hours to complete;Coursera;;;;;;;;
Introduction to Google SEO;Ever wonder how major search engines such as Google, Bing and Yahoo rank your website within their searches? Or how content such as videos or local listings are shown and ranked based on what the search engine considers most relevant to users? Welcome to the world of Search Engine Optimization (SEO). This course is the first within the SEO Specialization and it is intended to give you a taste of SEO with some fun practices to get seen in Google.;Business;Marketing;Course;English;Search Algorithm,Search Engine Optimization (SEO),Mathematical Optimization,Semantics,;4,6;Approx. 13 hours to complete;Coursera;;;;;;;;
Implant Dentistry;Implant Dentistry is one of the most dynamic and rapidly developing areas within oral health care. In spite of increasing popularity of implantology, it is a relatively new discipline within dental education and remains limited to post-graduate courses offered by dental schools in many parts of the world today.;Health;Basic Science;Course;English;Biology,Surgery,Radiology,Dentistry,;4,8;Approx. 27 hours to complete;Coursera;;;;;;;;
Healing with the Arts;Through art projectsâ€”including visual arts, dance, writing, and musicâ€”along with spiritual practices and guided imagery, Healing With the Arts gives you the tools to heal what you need to heal in your life: physical, mental, emotional, and spiritual.;Personal Development;Personal Development;Course;English;Music,Art,Meditation,Visual Arts,;4,6;Approx. 12 hours to complete;Coursera;;;;;;;;
Introduction to Data Science in Python;This course will introduce the learner to the basics of the python programming environment, including fundamental python programming techniques such as lambdas, reading and manipulating csv files, and the numpy library. The course will introduce data manipulation and cleaning techniques using the popular python pandas data science library and introduce the abstraction of the Series and DataFrame as the central data structures for data analysis, along with tutorials on how to use functions such as groupby, merge, and pivot tables effectively. By the end of this course, students will be able to take tabular data, clean it, manipulate it, and run basic inferential statistical analyses.;Data Science;Data Analysis;Course;English;Python Programming,Numpy,Pandas,Data Cleansing,;4,5;Approx. 34 hours to complete;Coursera;;;;;;;;
People Analytics;People analytics is a data-driven approach to managing people at work. For the first time in history, business leaders can make decisions about their people based on deep analysis of data rather than the traditional methods of personal relationships, decision making based on experience, and risk avoidance. In this brand new course, three of Whartonâ€™s top professors, all pioneers in the field of people analytics, will explore the state-of-the-art techniques used to recruit and retain great people, and demonstrate how these techniques are used at cutting-edge companies. Theyâ€™ll explain how data and sophisticated analysis is brought to bear on people-related issues, such as recruiting, performance evaluation, leadership, hiring and promotion, job design, compensation, and collaboration. This course is an introduction to the theory of people analytics, and is not intended to prepare learners to perform complex talent management data analysis. By the end of this course, youâ€™ll understand how and when hard data is used to make soft-skill decisions about hiring and talent development, so that you can position yourself as a strategic partner in your companyâ€™s talent management decisions. This course is intended to introduced you to Organizations flourish when the people who work in them flourish. Analytics can help make both happen. This course in People Analytics is designed to help you flourish in your career, too.;Business;Leadership and Management;Course;English;Talent Management,Analytics,Performance Management,Collaboration,;4,6;Approx. 8 hours to complete;Coursera;;;;;;;;
Six Sigma Principles;This course is for you if you are looking to learn more about Six Sigma or refresh your knowledge of the basic components of Six Sigma and Lean. Six Sigma skills are widely sought by employers both nationally and internationally. These skills have been proven to help improve business processes and performance. This course will introduce you to the purpose of Six Sigma and its value to an organization. You will learn about the basic principles of Six Sigma and Lean. Your instructors will introduce you to, and have you apply, some of the tools and metrics that are critical components of Six Sigma. This course will provide you with the basic knowledge of the principles, roles, and responsibilities of Six Sigma and Lean.;Business;Business Essentials;Course;English;Lean Six Sigma,Process Improvement,Six Sigma,Lean Methods,;4,6;Approx. 13 hours to complete;Coursera;;;;;;;;
Excel/VBA for Creative Problem Solving, Part 1;"Excel/VBA for Creative Problem Solving, Part 1"" is aimed at learners who are seeking to augment, expand, optimize, and increase the efficiency of their Excel spreadsheet skills by tapping into the powerful programming, automation, and customization capabilities available with Visual Basic for Applications (VBA).";Computer Science;Algorithms;Course;English;Microsoft Excel Vba,Computer Programming,Problem Solving,Debugging,;4,8;Approx. 20 hours to complete;Coursera;;;;;;;;
Fundamentals of Visualization with Tableau;In this first course of this specialization, you will discover what data visualization is, and how we can use it to better see and understand data. Using Tableau, weâ€™ll examine the fundamental concepts of data visualization and explore the Tableau interface, identifying and applying the various tools Tableau has to offer. By the end of the course you will be able to prepare and import data into Tableau and explain the relationship between data analytics and data visualization. This course is designed for the learner who has never used Tableau before, or who may need a refresher or want to explore Tableau in more depth. No prior technical or analytical background is required. The course will guide you through the steps necessary to create your first visualization from the beginning based on data context, setting the stage for you to advance to the next course in the Specialization.;Data Science;Data Analysis;Course;English;Tableau Software,Data Virtualization,Data Visualization (DataViz),Visualization (Computer Graphics),;4,5;Approx. 10 hours to complete;Coursera;;;;;;;;
Operational Research for Humanitarians;Evidence is central to good decision-making both in the humanitarian sector and beyond. Every day, a vast amount of evidence is generated that is relevant to humanitarian actors, much of it through research by academics and practitioners. This evidence can be incredibly valuable. It can help us better understand a situation and make humanitarian action more effective and accountable. The difficulty comes with understanding what evidence is relevant to our circumstances, where to find it, and how to assess its quality.;Health;Research;Course;English;Ethics,Humanitarian,Qualitative and Quantitative Research,community engagement,Research Methods,;4,8;Approx. 16 hours to complete;Coursera;;;;;;;;
Introduction to Probability and Data with R;This course introduces you to sampling and exploring data, as well as basic probability theory and Bayes' rule. You will examine various types of sampling methods, and discuss how such methods can impact the scope of inference. A variety of exploratory data analysis techniques will be covered, including numeric summary statistics and basic data visualization. You will be guided through installing and using R and RStudio (free statistical software), and will use this software for lab exercises and a final project. The concepts and techniques in this course will serve as building blocks for the inference and modeling courses in the Specialization.;Data Science;Data Analysis;Course;English;Statistics,R Programming,Rstudio,Exploratory Data Analysis,;4,7;Approx. 14 hours to complete;Coursera;;;;;;;;
Business Model Innovation;Innovation goes beyond technology, products and processes. The new competitive landscape requires another, more holistic and strategic perspective, based on the concept of business models.;Business;Business Strategy;Course;English;Strategic Management,Business Model,Business Modeling,Business Strategy,;4,7;Approx. 14 hours to complete;Coursera;;;;;;;;
Data-Driven Decisions with Power BI;New Power BI users will begin the course by gaining a conceptual understanding of the Power BI desktop application and the Power BI service. Learners will explore the Power BI interface while learning how to manage pages and understand the basics of visualizations. Learners will engage in numerous hands-on experiences to discover how to import, connect, clean, transform, and model their own data in the Power BI desktop application. Learners will investigate reports, learn about workspaces, and practice viewing, creating, and publishing reports to the Power BI service. Finally, learners will become proficient in the creation and utilization dashboards.;Business;Business Essentials;Course;English;Data Modeling,Data-Drive Decision Making,Group Decision-Making,Data Analysis,Report Building,;4,2;Approx. 14 hours to complete;Coursera;;;;;;;;
Greek and Roman Mythology;Myths are traditional stories that have endured over a long time. Some of them have to do with events of great importance, such as the founding of a nation. Others tell the stories of great heroes and heroines and their exploits and courage in the face of adversity. Still others are simple tales about otherwise unremarkable people who get into trouble or do some great deed. What are we to make of all these tales, and why do people seem to like to hear them? This course will focus on the myths of ancient Greece and Rome, as a way of exploring the nature of myth and the function it plays for individuals, societies, and nations. We will also pay some attention to the way the Greeks and Romans themselves understood their own myths. Are myths subtle codes that contain some universal truth? Are they a window on the deep recesses of a particular culture? Are they a set of blinders that all of us wear, though we do not realize it? Or are they just entertaining stories that people like to tell over and over? This course will investigate these questions through a variety of topics, including the creation of the universe, the relationship between gods and mortals, human nature, religion, the family, sex, love, madness, and death.;Arts and Humanities;Philosophy;Course;English;Art History,Greek Mythology,History,Mythology,;4,8;Approx. 24 hours to complete;Coursera;;;;;;;;
Getting Started with Git and GitHub;Get started with Git and GitHub in this self-paced, introductory course! Youâ€™ll become familiar with collaborative version control and popular Git platforms. Collaboration and social coding are crucial parts of contemporary Software Engineering practices and the DevOps culture.;Computer Science;Software Development;Course;English;Distributed Version Control (DRCS),open source,Version Control Systems,Github,Git (Software),;4,6;Approx. 8 hours to complete;Coursera;;;;;;;;
Agile Meets Design Thinking;Despite everyone's good intentions, hard work and solid ideas, too many teams end up creating products that no one wants, no one can use, and no one buys. But it doesn't have to be this way. Agile and design thinking offer a different--and effective--approach to product development, one that results in valuable solutions to meaningful problems. In this course, youâ€™ll learn how to determine what's valuable to a user early in the process--to frontload value--by focusing your team on testable narratives about the user and creating a strong shared perspective.;Computer Science;Design and Product;Course;English;agile user stories,User Experience Design (UXD),Agile Software Development,Product Management,Software Development,;4,7;Approx. 9 hours to complete;Coursera;;;;;;;;
Google SEO Fundamentals;Gain an understanding of search engine algorithms and how they affect organic search results and websites. Building on this knowledge, youâ€™ll learn the key elements for creating an effective SEO strategy, including how to select keywords and perform keyword research;;;;;;;;Coursera;;;;;;;;
Introduction to Cyber Attacks;This course provides learners with a baseline understanding of common cyber security threats, vulnerabilities, and risks. An overview of how basic cyber attacks are constructed and applied to real systems is also included. Examples include simple Unix kernel hacks, Internet worms, and Trojan horses in software utilities. Network attacks such as distributed denial of service (DDOS) and botnet- attacks are also described and illustrated using real examples from the past couple of decades.;Computer Science;Computer Security and Networks;Course;English;Cybersecurity,Information Security (INFOSEC),Denial-Of-Service Attack (DOS),Risk Assessment,;4,7;Approx. 18 hours to complete;Coursera;;;;;;;;
Introduction to Agile Development and Scrum;After successfully completing this course, you will be able to embrace the Agile concepts of adaptive planning, iterative development, and continuous improvement - resulting in early deliveries and value to customers. This course will benefit anyone who wants to get started with working the Agile way. It is particularly suitable for IT practitioners such as software developers, development managers, project managers, product managers, and executives.;Computer Science;Software Development;Course;English;Agile Software Development,Scrum Methodology,Zenhub,Kanban,Sprint Planning,;4,9;Approx. 9 hours to complete;Coursera;;;;;;;;
Excel Fundamentals for Data Analysis;As data becomes the modern currency, so the ability to analyse the data quickly and accurately has become of paramount importance. Excel with its extraordinarily broad range of features and capabilities is one of the most widely used programs for doing this. In the first course of our Excel Skills for Data Analysis and Visualization Specialization, you will learn the fundamentals of Excel for data analysis. When you have completed the course, you will be able to use a range of Excel tools and functions to clean and prepare data for analysis;;;;;;;;Coursera;;;;;;;;
Creative Thinking: Techniques and Tools for Success;In todayâ€™s ever-growing and changing world, being able to think creatively and innovatively are essential skills. It can sometimes be challenging to step back and reflect in an environment which is fast paced or when you are required to assimilate large amounts of information. Making sense of or communicating new ideas in an innovative and engaging way, approaching problems from fresh angles, and producing novel solutions are all traits which are highly sought after by employers.;Personal Development;Personal Development;Course;English;Creative Thinking,Problem Solving,Creativity,Brainstorming,;4,7;Approx. 19 hours to complete;Coursera;;;;;;;;
Mastering Final Cut Pro;This course unravels the post-production world for editors. Students will dive into the key features of Appleâ€™s Final Cut Pro software for Video and Audio Editing and learn elements for creating professional videos with the use of transitions and effects, titles and motion graphics, color correction, 360 Video and Media Management.;Business;Business Essentials;Course;English;Experience with video production is helpful,video terminology and while not required,Basic understanding of macOS helpful,;4,5;Approx. 40 hours to complete;Coursera;;;;;;;;
Introduction to Public Speaking;This course offers a proven framework for crafting and delivering impactful presentations.;Business;Business Essentials;Course;English;Confidence,Presentation,Speech,Public Speaking,;4,8;Approx. 14 hours to complete;Coursera;;;;;;;;
Children's Human Rights - An Interdisciplinary Introduction;Drawing on the contributions of several academic disciplines including law, psychology, sociology, history, educational and health sciences, economy and anthropology, an interdisciplinary approach guides the student into a selection of critical issues concerning childrenâ€™s rights. Participants will gain insight relative to the development of this specific human rights category, as well as to the evolution of the challenges faced by children over time and societyâ€™s efforts to respond. Successful international strategies and programs promoting childrenâ€™s rights will be highlighted, as well as the role of key actors involved in international organizations working in this field. This open online course provides an overview of the most important features of childrenâ€™s human rights. A central portion of the MOOC will consist of a presentation of the international and regional standards on childrenâ€™s rights and the related international and regional judicial and quasi-judicial bodies designed to ensure their implementation.;Social Sciences;Law;Course;English;Justice,Child Psychology,International Law,Humanitarian,;4,7;Approx. 10 hours to complete;Coursera;;;;;;;;
Data-driven Decision Making;Welcome to Data-driven Decision Making. In this course, you'll get an introduction to Data Analytics and its role in business decisions. You'll learn why data is important and how it has evolved. You'll be introduced to â€œBig Dataâ€ and how it is used. You'll also be introduced to a framework for conducting Data Analysis and what tools and techniques are commonly used. Finally, you'll have a chance to put your knowledge to work in a simulated business setting.;Data Science;Data Analysis;Course;English;Data-Informed Decision-Making,Big Data,Data Analysis,Data Visualization (DataViz),;4,6;Approx. 9 hours to complete;Coursera;;;;;;;;
Cost and Economics in Pricing Strategy;How much should you charge for your products and services? Traditionally, businesses have answered this question based on the cost to produce or provide their goods and services. This course shows you the economic factors behind pricing based on cost and the pros and cons of a cost-based pricing approach. Developed at the Darden School of Business at the University of Virginia, and led by top-ranked Darden faculty and Boston Consulting Group global pricing experts, the course provides the practical and research-based models and methods you need to set prices that maximize your profits.;Business;Marketing;Course;English;Cost-Based Pricing,Channel and Direct-to-Consumer Pricing,Pricing Strategies,Price Discrimination,Price Elasticity Of Demand,;4,8;Approx. 12 hours to complete;Coursera;;;;;;;;
Aspectos bÃ¡sicos del diseÃ±o de la experiencia del usuario;Aspectos bÃ¡sicos del diseÃ±o de la experiencia del usuario (UX) es el primero de una serie de siete cursos mediante los cuales podrÃ¡s acceder a las habilidades que necesitarÃ¡s para postularte a trabajos de nivel bÃ¡sico relacionados con el diseÃ±o de UX. Los diseÃ±adores de UX se centran en las interacciones de las personas con distintos productos, como sitios web, aplicaciones mÃ³viles y objetos fÃ­sicos. Los diseÃ±adores de UX hacen que esas interacciones cotidianas sean fÃ¡ciles de usar, agradables y accesibles. Algunas de las tareas de un diseÃ±ador de UX de nivel bÃ¡sico podrÃ­an ser empatizar con los usuarios, definir las dificultades a las que se enfrentan, proponer soluciones de diseÃ±o, crear esquemas, prototipos y maquetas, y probar diseÃ±os para obtener comentarios.;Computer Science;Design and Product;Course;Spanish;Experiencia del usuario (UX),Esquema,DiseÃ±o de la experiencia del usuario (UXD),InvestigaciÃ³n en UX,Prototipo,;4,9;Approx. 20 hours to complete;Coursera;;;;;;;;
NutriciÃ³n y obesidad: control de sobrepeso;En este curso, ofrecido por la UNAM, reconocerÃ¡s una herramienta para evitar, manejar y controlar el sobrepeso y la obesidad, al destacar la importancia del autocuidado y el apoyo familiar en el manejo de este padecimiento. Te mostrarÃ¡ el verdadero valor de los alimentos como compaÃ±eros de tu vida, te alejarÃ¡ de los kilos de mÃ¡s y te forjarÃ¡ hÃ¡bitos saludables que marcarÃ¡n una senda de salud perdurable.;Health;Nutrition;Course;Spanish;Nutrition,Null Character,Physical Examination,Diets,;4,8;Approx. 10 hours to complete;Coursera;;;;;;;;
Positive Psychology;This course discusses research findings in the field of positive psychology, conducted by Barbara Fredrickson and her colleagues. It also features practical applications of this science that you can put to use immediately to help you live a full and meaningful life.;Health;Psychology;Course;English;Gratitude,Kindness,Meditation,Positive Psychology,;4,7;Approx. 11 hours to complete;Coursera;;;;;;;;
Security Principles;Welcome to course 1 of 5 of this Specialization, Security Principles.;Information Technology;Security;Course;English;Risk,Information Assurance,security,governance,;4,7;Approx. 5 hours to complete;Coursera;;;;;;;;
Understanding Plants - Part I: What a Plant Knows;For centuries we have collectively marveled at plant diversity and formâ€”from Charles Darwinâ€™s early fascination with stems and flowers to Seymour Krelbornâ€™s distorted doting in Little Shop of Horrors. This course intends to present an intriguing and scientifically valid look at how plants themselves experience the worldâ€”from the colors they see to the sensations they feel. Highlighting the latest research in genetics and more, we will delve into the inner lives of plants and draw parallels with the human senses to reveal that we have much more in common with sunflowers and oak trees than we may realize. Weâ€™ll learn how plants know up from down, how they know when a neighbor has been infested by a group of hungry beetles, and whether they appreciate the music youâ€™ve been playing for them or if theyâ€™re just deaf to the sounds around them. Weâ€™ll explore definitions of memory and consciousness as they relate to plants in asking whether we can say that plants might even be aware of their surroundings. This highly interdisciplinary course meshes historical studies with cutting edge modern research and will be relevant to all humans who seek their place in nature.;Health;Basic Science;Course;English;Plant Biology,Genetics,Cell Biology,Plant,;4,8;Approx. 11 hours to complete;Coursera;;;;;;;;
Science Literacy;Fake news or good science? In a world where we have access to unlimited information, it is hard to sift through the echo chamber of opinions fueled by emotions and personal biases, rather than scientific evidence. Science Literacy will teach you about the process of science, how to think critically, how to differentiate science from pseudoscience, how indigenous wisdom can inform science, how to understand and design a scientific study, and how to critically evaluate scientific communication in the media. Every module will build your new skill-base with real life examples, and at the end of each module you will have to apply these skills to scientific questions, talking points and controversies in the world. Warning: this course requires an open mind and the ability to self-reflect.;Health;Basic Science;Course;English;Media Literacy,Experimental Design,Communication,Science Literacy,Science,;4,4;Approx. 22 hours to complete;Coursera;;;;;;;;
Machine Learning Modeling Pipelines in Production;In the third course of Machine Learning Engineering for Production Specialization, you will build models for different serving environments;;;;;;;;Coursera;;;;;;;;
Design a User Experience for Social Good & Prepare for Jobs;Design a User Experience for Social Good and Prepare for Jobs is the seventh and final course in a program that will equip you with the skills you need to become an entry-level UX designer. In this course, you will design a dedicated mobile app and a responsive website focused on social good. You will showcase all that youâ€™ve learned during the certificate program to complete the design process from beginning to end: empathizing with users, defining their pain points, coming up with ideas for design solutions, creating wireframes and prototypes, and testing designs to get feedback. By the end of this course, you will have a new cross-platform design project to include in your professional UX portfolio.;Computer Science;Design and Product;Course;English;User Experience (UX),Usability Testing,Prototype,User Experience Design (UXD),UX design jobs,;4,8;Approx. 62 hours to complete;Coursera;;;;;;;;
Social Impact Strategy: Tools for Entrepreneurs and Innovators;This course offers an introduction to social impact strategy and social entrepreneurship, including key concepts, an overview of the field, and tools to get started as a changemaker. Students will learn how to innovate and design new ideas and new organizational forms to implement those ideas. Students who take this course will be better prepared to launch social impact;Business;Entrepreneurship;Course;English;Market Analysis,Business Model,Business Modeling,Social Entrepreneurship,;4,8;Approx. 7 hours to complete;Coursera;;;;;;;;
The Art of Music Production;Explore the art of record production and how to make recordings that other people will love listening to. This course will teach you how to make emotionally moving recordings on almost any recording equipment, including your phone or laptop. The emphasis is on mastering tangible artistic concepts;;;;;;;;Coursera;;;;;;;;
Introduction to Risk Management;What is risk? Why do firms manage risk? In this course, you will be introduced to the different types of business and financial risks, their sources, and best practice methods for measuring risk. This course will help you gauge different risk types and set risk limits, describe the key factors that drive each type of risk, and identify the steps needed to choose probability distributions to estimate risk. You will explore the history and development of risk management as a science, and financial and business trends that have shaped the practice of risk management. By the end of the course, you will have the essential knowledge to measure, assess, and manage risk in your organization.;Business;Finance;Course;English;Risk Management,Financial Risk,Leadership and Financial Risk Estimation and Management,Regulations,;4,7;Approx. 16 hours to complete;Coursera;;;;;;;;
Initiating and Planning Projects;The courses in the Introduction to Project Management Principles and Practices Specialization are a recommended precursor to UCI's Applied Project Management Certificate.;Business;Leadership and Management;Course;English;Project Management,Project,Planning,Project Planning,;4,7;Approx. 7 hours to complete;Coursera;;;;;;;;
Custom Models, Layers, and Loss Functions with TensorFlow;In this course, you will:;Data Science;Machine Learning;Course;English;Functional API,Custom Layers,Custom and Exotic Models with Functional API,Custom Loss Functions,;4,9;Approx. 31 hours to complete;Coursera;;;;;;;;
Algorithmic Toolbox;This online course covers basic algorithmic techniques and ideas for computational problems arising frequently in practical applications: sorting and searching, divide and conquer, greedy algorithms, dynamic programming. We will learn a lot of theory: how to sort data and how it helps for searching;;;;;;;;Coursera;;;;;;;;
Introduction to Computer Vision and Image Processing;Computer Vision is one of the most exciting fields in Machine Learning and AI. It has applications in many industries, such as self-driving cars, robotics, augmented reality, and much more. In this beginner-friendly course, you will understand computer vision and learn about its various applications across many industries.;Data Science;Machine Learning;Course;English;Deep Learning,Opencv,Artificial Intelligence (AI),Image Processing,Computer Vision,;4,4;Approx. 21 hours to complete;Coursera;;;;;;;;
Preparing to Manage Human Resources;One way or another, all employees are managed. But approaches to managing employees varying from employee-to-employee, job-to-job, manager-to-manager, organization-to-organization, and country-to-country. This course provides a foundation for developing your own approach to skillfully managing employees by illustrating alternative human resource management (HRM) strategies, introducing the importance of the legal context, and thinking about what motivates employees. This will then give you the factual and conceptual basis for developing specific, critical HRM skills in subsequent courses on hiring employees, managing performance, and rewarding employees. Don't know anything about HRM? That's OK! Leave this course with a new-found understanding of the range of options available for managing employees, a grasp of what makes workers tick, and the readiness to develop your own HRM skills.;Business;Leadership and Management;Course;English;Human Resources (HR),Resource Management,Hr Strategy,;4,8;Approx. 17 hours to complete;Coursera;;;;;;;;
Deploying Machine Learning Models in Production;In the fourth course of Machine Learning Engineering for Production Specialization, you will learn how to deploy ML models and make them available to end-users. You will build scalable and reliable hardware infrastructure to deliver inference requests both in real-time and batch depending on the use case. You will also implement workflow automation and progressive delivery that complies with current MLOps practices to keep your production system running. Additionally,  you will continuously monitor your system to detect model decay, remediate performance drops, and avoid system failures so it can continuously operate at all times.;Data Science;Machine Learning;Course;English;TensorFlow Serving,Model Monitoring,Model Registries,Machine Learning Operations (MLOps),Generate Data Protection Regulation (GDPR),;4,6;Approx. 31 hours to complete;Coursera;;;;;;;;
Introduction to Genetics and Evolution;"Introduction to Genetics and Evolution is a college-level class being offered simultaneously to new students at Duke University. The course gives interested people a very basic overview of some principles behind these very fundamental areas of biology.  We often hear about new ""genome sequences,"" commercial kits that can tell you about your ancestry (including pre-human) from your DNA or disease predispositions, debates about the truth of evolution, why animals behave the way they do, and how people found ""genetic evidence for natural selection.""  This course provides the basic biology you need to understand all of these issues better, tries to clarify some misconceptions, and tries to prepare students for future, more advanced coursework in Biology (and especially evolutionary genetics).  No prior coursework is assumed.";Health;Basic Science;Course;English;Biology,Genetics,Evolution,Genomics,;4,8;Approx. 25 hours to complete;Coursera;;;;;;;;
Rebuilding Our Relationship with Food;Have you ever made a conscious effort to change the way you eat (for health or other reasons) and then felt frustrated when your plans were derailed? Youâ€™re not alone. The best laid plans are often sabotaged by a food environment that makes it increasingly hard to make healthier food choices. This can leave many people feeling mistrustful of food or feeling that our relationship with food is somehow broken. In this course, weâ€™ll explore the history of our changing food environment, the science behind cravings for unhealthy foods AND most importantly, youâ€™ll learn some concrete strategies for rebuilding your relationship with food. Youâ€™ll learn to practice mindful eating and self-compassion (proven strategies for supporting healthier food choices) as well as designing a customized plan to protect your relationship with food and improve the health of your greatest asset - you! I canâ€™t wait to start on this adventure together.;Health;Nutrition;Course;English;Devise a customized plan for optimizing your eating patterns.,Rebuild your relationship with food by learning to genuinely love the foods that will support your health in the long term.,Practice self-compassion with regard to your eating behaviors and food choices.,Observe your own unique eating patterns and identify areas of improvement.,Practice food mindfulness or mindful eating on a day-to-day basis.,;4,9;Approx. 8 hours to complete;Coursera;;;;;;;;
Introduction to Web Development;This course is designed to start you on a path toward future studies in web development and design, no matter how little experience or technical knowledge you currently have. The web is a very big place, and if you are the typical internet user, you probably visit several websites every day, whether for business, entertainment or education. But have you ever wondered how these websites actually work? How are they built? How do browsers, computers, and mobile devices interact with the web? What skills are necessary to build a website? With almost 1 billion websites now on the internet, the answers to these questions could be your first step toward a better understanding of the internet and developing a new set of internet skills.;Computer Science;Mobile and Web Development;Course;English;Css Code,HTML,JavaScript,Cascading Style Sheets (CSS),;4,7;Approx. 21 hours to complete;Coursera;;;;;;;;
Cyber Threat Intelligence;This course gives you the background needed to gain Cybersecurity skills as part of the Cybersecurity Security Analyst Professional Certificate program.;Information Technology;Security;Course;English;Application Security,threat intelligence,network defensive tactics,security analyst,Cybersecurity,;4,7;Approx. 26 hours to complete;Coursera;;;;;;;;
Google Cloud Fundamentals: Core Infrastructure;Google Cloud Fundamentals: Core Infrastructure introduces important concepts and terminology for working with Google Cloud. Through videos and hands-on labs, this course presents and compares many of Google Cloud's computing and storage services, along with important resource and policy management tools.;Information Technology;Cloud Computing;Course;English;Google Compute Engine,Google App Engine (GAE),Google Cloud Platform,Cloud Computing,;4,7;Approx. 8 hours to complete;Coursera;;;;;;;;
Regression Analysis: Simplify Complex Data Relationships;This is the fifth of seven courses in the Google Advanced Data Analytics Certificate. Data professionals use regression analysis to discover the relationships between different variables in a dataset and identify key factors that affect business performance. In this course, youâ€™ll practice modeling variable relationships. You'll learn about different methods of data modeling and how to use them to approach business problems. Youâ€™ll also explore methods such as linear regression, analysis of variance (ANOVA), and logistic regression.;Data Science;Data Analysis;Course;English;Predictive Modelling,Statistical Analysis,Python Programming,Effective Communication,regression modeling,;5;Approx. 28 hours to complete;Coursera;;;;;;;;
Fundamentals of GIS;Explore the world of spatial analysis and cartography with geographic information systems (GIS). In this class you will learn the basics of the industryâ€™s leading software tool, ArcGIS, during four week-long modules:;Physical Science and Engineering;Environmental Science and Sustainability;Course;English;Spatial Analysis,Data Analysis,Data Visualization (DataViz),Software,;4,8;Approx. 30 hours to complete;Coursera;;;;;;;;
The Horse Course: Introduction to Basic Care and Management;There are over 100 million horses, donkeys and mules in the world today and owners of these animals can be found on almost every continent and in almost every society.  The Horse Course will cover many unique aspects of equine ownership and touch upon the science behind many of todayâ€™s management practices.;Health;Animal Health;Course;English;Disease Management,Nutrition,Animal Behavior,Vital Signs,;4,9;Approx. 18 hours to complete;Coursera;;;;;;;;
